Txn Hash,UnixTimestamp,Date Time (UTC),Action,Amount (Out),Token (Out),Amount (In),Token (In),Swapped Rate,Swapped Pair,DEX,Volume
0x3b2eb82dd84a8c945b5434bd506f4b5951c014adf8365b0b510b1f90eedefbef,1635005307,2021-10-23 16:08:27,Buy,0.00151947137099362, ETH,15.0856904825439, LIF,0.00010072,ETH per LIF,Uniswap V3,15.0856904825439
0x2f8d47e74eff21242608b0ffa4f930f6682249d6ff956564a6ab9a67cdb25993,1635015191,2021-10-23 18:53:11,Sell,500, LIF,0.0500056108981449, ETH,0.00010001,ETH per LIF,Uniswap V3,500
0x59979799b78306ee8f74261b96d68c88373637aac5e9b25e4537c4b343ae9774,1635056161,2021-10-24 06:16:01,Buy,0.04, ETH,397.648589362494, LIF,0.00010059,ETH per LIF,Uniswap V3,397.648589362494
0x4e9e3cc4605b350fba9689c8f9442e679d9d2ecbbda15f37193d31dd7df44f2e,1635117155,2021-10-24 23:12:35,Sell,649, LIF,0.0648565486347598, ETH,0.00009993,ETH per LIF,Uniswap V3,649
0x59a3c8019444d00c008f43a96ebf65a575c28ef41fa2c7f40866ac5c0748ecd8,1635147808,2021-10-25 07:43:28,Buy,0.16781227427529, ETH,1665.38882345889, LIF,0.00010076,ETH per LIF,Uniswap V3,1665.38882345889
0xfe6d18c441a0672064358c85bcbf538e5dadfd4defc900be8ae5702e5e2c4248,1635148284,2021-10-25 07:51:24,Sell,1687.34808360447, LIF,0.169, ETH,0.00010016,ETH per LIF,Uniswap V3,1687.34808360447
0x85219229434fbc4c8fa1fb9867eb30b0072fe4e6c36875e67d0400122a1c63fe,1635907402,2021-11-03 02:43:22,Buy,0.0648595777232139, ETH,645.193329457472, LIF,0.00010053,ETH per LIF,Uniswap V3,645.193329457472
0x02592a414d0e2c01b8ae92a09185b80047b5aa645702d5f4b5d06789135d59f5,1635910895,2021-11-03 03:41:35,Buy,0.056, ETH,555.570011988813, LIF,0.0001008,ETH per LIF,Uniswap V3,555.570011988813
0x3df29bcd0d3c94e9949cbc5d3283a843351c46c626a76f17b00d10552f5482b1,1635937907,2021-11-03 11:11:47,Sell,1207.49560740092, LIF,0.120808228206234, ETH,0.00010005,ETH per LIF,Uniswap V3,1207.49560740092
0x07f2c0da0f01c1e39f42684fb0661cc6cc47b472f2bac644acfb68fbb3e1dece,1635938146,2021-11-03 11:15:46,Buy,0.01, ETH,99.5980525172802, LIF,0.0001004,ETH per LIF,Uniswap V3,99.5980525172802
0xc73961f62c7f410c73f95e523ae2ecd737f3d1a71d58647b927b0aafdb52f08b,1636467589,2021-11-09 14:19:49,Buy,0.651735899670557, ETH,6397.080670337, LIF,0.00010188,ETH per LIF,Uniswap V3,6397.080670337
0xc0be90f266aba62a3d3e05a1e66f1e5a79d8f9dbf6856d334f9a043b19f6578d,1636473480,2021-11-09 15:58:00,Sell,6508.70405025422, LIF,0.659, ETH,0.00010125,ETH per LIF,Uniswap V3,6508.70405025422
0x93e597f587201f3fe9b8764a49b7edd504a1448c45378b1c860fb2aa0574fd69,1636959966,2021-11-15 07:06:06,Buy,0.252369138578738, ETH,2500, LIF,0.00010095,ETH per LIF,Uniswap V3,2500
0x5bf882c28cd3dc0509cc8416f9790da644f7221bee5058c10ecc7b611787c361,1636960760,2021-11-15 07:19:20,Sell,2500, LIF,0.2508613926097, ETH,0.00010034,ETH per LIF,Uniswap V3,2500
0x1ac1f8102e4ddca4f87141bc9530038f66486a033ac8c3f5f6079b27680bfc1e,1637076146,2021-11-16 15:22:26,Buy,0.507602296377489, ETH,5000, LIF,0.00010152,ETH per LIF,Uniswap V3,5000
0xaa4148a99032a592ccfa2ade65e901fd436cdb36212768c4c8c0f5726c0268b6,1637076483,2021-11-16 15:28:03,Buy,0.17, ETH,1649.6963027449, LIF,0.00010305,ETH per LIF,Uniswap V3,1649.6963027449
0xaa4148a99032a592ccfa2ade65e901fd436cdb36212768c4c8c0f5726c0268b6,1637076483,2021-11-16 15:28:03,Buy,0.17, ETH,1649.6963027449, LIF,0.00010305,ETH per LIF,Uniswap V3,1649.6963027449
0xe90d9400eab9b6c51ec7500d86b21060043a9bf298d887078ce02cf262b52c59,1637077051,2021-11-16 15:37:31,Sell,6500, LIF,0.658628775573548, ETH,0.00010133,ETH per LIF,Uniswap V3,6500
0x0b3817e421ed5983c34845030927f5768de81ec6cc15d69e13a8651d35bab6fb,1637093849,2021-11-16 20:17:29,Buy,0.0088, ETH,87.5766089854495, LIF,0.00010048,ETH per LIF,Uniswap V3,87.5766089854495
0x0a9bd7e4cff61180f013748fef7a3ffcd79245b80a7755af236c0e301792c933,1637095570,2021-11-16 20:46:10,Buy,0.5, ETH,4920.32734591853, LIF,0.00010162,ETH per LIF,Uniswap V3,4920.32734591853
0x795ae84a963d8ce50f85aba383dd4ad17dac8ed41ef5f4ca4eae279a07fd9b96,1637095809,2021-11-16 20:50:09,Sell,4800, LIF,0.484996044719524, ETH,0.00010104,ETH per LIF,Uniswap V3,4800
0xdc50217dfdbd57f792288c731681769dd75398ea9120c59b90e05ccc820516f2,1637100085,2021-11-16 22:01:25,Buy,0.12, ETH,1190.10385862908, LIF,0.00010083,ETH per LIF,Uniswap V3,1190.10385862908
